Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4
A,-0.98444581,-2.001506329,-1.678374887,-2.384308815,-0.760810792
AAL,1.170934439,-4.180463791,-1.888626337,-1.558532953,0.380895138
AAP,2.38304162,-4.057206154,0.638303936,-0.437526286,-2.142050743
AAPL,-3.583967447,-1.297430515,-0.007452087,-0.132551685,-0.285242021
ABC,-0.541675866,-1.971371055,-0.55381155,-2.174437284,-2.152651072
ABMD,0.303431123,-1.136804938,-0.742423594,-0.837080836,-0.733421743
ABT,0.278259218,-1.212483525,-0.833916843,-0.960424423,-0.727383077
ACN,-1.420132637,0.137852639,-0.83003062,0.007577687,0.184249759
ADBE,-3.561158895,0.576838613,-1.69453752,3.570154667,0.631763458
ADI,-3.28085494,-1.233374238,0.220957145,-0.226648346,-1.310825586
ADM,2.108380318,-3.23898983,-1.024833679,1.969302416,1.080623507
ADP,-2.540393829,0.24213779,-1.956670761,-0.731712103,-0.761670232
ADS,-3.051583529,0.483291358,-1.816283941,1.258551955,0.457946837
ADSK,-2.454853296,0.008891178,0.873128951,3.724737406,-2.545810699
AEE,-0.387189925,1.448556066,-2.202890158,1.376450777,-2.229807854
AEP,-0.83949852,1.457354546,-2.322788715,1.189981461,-2.217277288
AES,0.730987549,2.267317295,-3.668979645,2.81855011,-3.830591202
AFL,0.60250169,-1.52868247,-2.075638056,-3.134598255,-2.718085527
AGI,-1.977047205,0.930156589,-0.874426603,3.757974863,-1.192758203
AIG,-1.666727185,-0.017051501,-4.858710289,-3.134825468,-2.279400349
AIZ,-1.57508719,-0.004382426,-4.726016521,-3.103488684,-2.305015802
AJG,-1.519013166,-0.163356513,-4.810152531,-3.178601742,-2.208823919
AKAM,-5.247894764,0.820352972,-3.035022974,-0.005259347,-1.704992414
ALB,1.384159923,0.035427261,-1.520861626,0.677287221,-1.019713402
ALGN,-0.357233882,-2.563224792,-1.262786508,-2.33663106,-1.172473431
ALK,1.079007983,-4.007388115,-1.875412464,-1.604307532,0.236287981
ALL,0.764702618,0.506434977,-1.908335567,-1.14547348,-3.142948627
ALXN,2.916786432,-1.211759806,-1.565130115,-0.704799116,-2.954238415
AMAT,-4.258646965,-1.653444171,0.317602754,-0.322674125,-1.78636086
AMD,-3.251338482,-1.251668572,0.258863658,-0.172622427,-1.326748967
AME,2.990217924,0.706917346,-2.728465557,2.075890303,-1.328861475
AMGN,2.973706245,-1.235310316,-1.528420329,-0.563035548,-2.793453693
AMP,-1.793518424,-1.732575178,0.251420587,-1.991842747,-3.818851709
AMX,-4.792599201,-1.608467102,-1.654603481,-0.361692756,0.985321522
AMZN,-2.054247379,-1.290289283,-0.127402216,0.833349288,1.311894655
ANSS,-2.359038591,-0.059157073,0.9139871,3.73250556,-2.546013594
ANTM,0.266199619,-2.505885839,-1.542641401,-2.100698233,-0.763002217
AOS,1.226348281,0.520530999,-0.124215573,2.42095232,-3.581121206
APD,0.04960157,0.177366778,-6.72611618,-1.167836785,-0.882219255
APH,-4.364037991,-1.247816443,-2.314126015,1.966822743,3.116096497
ARTNA,3.06491375,-1.416591644,-1.894730926,3.736664772,0.317527741
ASH,1.448131561,0.05430574,-1.545089364,0.741643846,-1.183069706
ATNI,-3.667870045,0.923237145,-2.364235163,0.548375845,-0.501685977
ATO,0.886690795,1.837966681,-4.64831543,0.250620425,-3.2459023
ATVI,-1.927497149,-0.704538763,0.089830704,1.276218772,0.878213406
AUY,-1.881664872,0.933670938,-0.84875387,3.805018902,-1.256996632
AVGO,-3.351174593,-1.219028711,0.171438724,-0.199710116,-1.2976861
AVY,-0.752178371,-0.853125274,0.511464834,0.50679034,-1.089873314
AWK,3.049233913,-1.374346375,-1.82382226,3.718578577,0.228404328
AZO,2.287770271,-3.986278534,0.962094367,-0.208766147,-2.407179594
BA,-0.553821385,-3.288265944,-2.051004171,-1.886289358,0.569558799
BAX,0.116292909,-1.06016767,-0.684073567,-0.821207762,-0.616975605
BBL,-3.272351027,1.094638228,-0.814305067,3.090038538,-2.362773418
BCPC,1.335649252,0.012573015,-1.518489003,0.615718067,-0.972482324
BDX,0.235505357,-1.068880677,-0.719163656,-0.693176091,-0.625632048
BEN,-1.737519622,-1.853911638,0.186080307,-2.201761723,-3.963317633
BF.B,1.241516232,-0.828582823,0.10304451,5.96096468,-1.532859325
BG,2.839007378,-3.715166807,0.033522621,2.716889381,0.059194576
BGS,1.43623662,-2.032989979,-0.903898418,1.615211725,0.915970743
BIDU,-3.086282015,-1.471289158,-0.261389911,2.644861221,1.915963173
BIIB,3.067356586,-1.219969153,-1.627420306,-0.599576414,-2.955234051
BIP,-0.312938869,1.508300781,-2.308997869,1.365539193,-2.276309967
BKNG,0.026682131,-5.579912186,-0.525826097,0.450236768,2.222135305
BLK,-1.67243731,-1.794865012,0.270736605,-1.986246586,-3.70093894
BLL,-0.873321295,-1.353031158,1.183103323,1.180882335,-1.872776628
BMY,2.951714754,-1.202927351,-1.6102314,-0.718481719,-3.023611784
BP,2.674862623,0.569946647,-3.407446146,0.172103256,-2.885270119
BR,-1.831421733,0.12551555,-1.665806293,-2.27875495,-3.533385992
BRK.B,-2.102542162,2.171548843,-5.899065018,-2.021951437,-5.376618385
BSX,0.189613461,-0.891069353,-0.730674326,-0.624791324,-0.581825852
BTI,-1.632264495,-1.774947286,1.255341291,6.300702572,-1.142872334
BWA,4.181460381,-8.130206108,2.186011553,-0.578131258,-5.279582024
CAG,1.422119379,-2.131378651,-0.848919749,1.540616751,0.935147405
CAH,-0.400462806,-2.010471106,-0.531965017,-2.242891312,-2.344118834
CASY,1.197466373,-1.965064764,0.008439208,4.512218952,0.674854815
CAT,1.23200047,0.677421153,-0.126088634,3.544662237,-3.372866392
CB,0.800277591,0.432710171,-2.019051313,-1.200970173,-3.088078737
CCK,-0.816225648,-1.312864661,1.15488708,1.040371776,-1.758851528
CCL,-1.084099174,-5.366938591,-0.680296838,-0.562915146,1.922817588
CCOI,-5.878989697,-0.191733032,-2.342725277,1.394413233,0.576215088
CDNS,-4.319631577,-0.993846059,0.062569633,0.478604436,-1.435822248
CE,1.388962626,-0.046939638,-1.521657109,0.530053198,-1.144682765
CENT,2.959605932,-1.286791205,0.61894691,2.230343103,-2.890367031
CERN,-0.1476814,-4.080274105,-0.038912054,-3.760753155,-4.814954281
CF,2.562320471,-3.970375299,-1.284285188,2.173657656,1.231526852
CHD,1.669367909,-0.450121731,0.031482823,0.722832859,-3.717731714
CHRW,1.193152308,-2.86940074,-3.178181648,-2.17413187,-0.352593839
CI,-0.045999497,-2.54000783,-1.187104225,-2.00699091,-0.855543852
CINF,0.909398913,0.430020839,-2.124196291,-1.311914563,-3.26774168
CL,1.766544819,-1.119587183,0.987212181,1.481162906,-3.998507738
CLNE,2.845756054,-1.976831555,-2.014588118,-1.01498425,-1.472541928
CLPHY,-0.906482399,1.525550365,-2.262460709,1.183627486,-2.271107912
CLX,1.649970174,-0.403170139,0.082234539,0.801373363,-3.774579048
CMC,-2.814630747,0.937689364,-0.636169434,2.805657625,-1.957552433
CMCL,-1.937475443,0.927169085,-0.845975161,3.76631403,-1.233918071
CMCSA,-4.071436882,-2.780827999,-1.6330024,-0.78520143,2.039490223
CME,-1.330544353,-0.756355047,-1.371901512,-1.896182775,-1.497926116
CMG,1.491512179,-3.649778128,-0.877821147,1.37866354,1.409902334
CMI,1.181237221,0.738739669,-0.201858506,3.36741662,-3.505315065
CMS,-0.351590753,1.530959249,-2.281862259,1.42054677,-2.337889433
CNC,0.392893851,-2.701064825,-1.844150066,-2.229457855,-0.827780366
CNK,-2.357412338,-3.613099098,-1.016490102,0.555713475,2.569097042
CNP,-0.283027649,1.489000678,-2.283816814,1.447046161,-2.204241753
CNX,1.070455551,-0.024486873,-3.399289608,-0.834643841,-1.46209383
COG,1.127558589,-0.064024389,-3.497406483,-0.862407386,-1.428384781
COO,-0.364863187,-2.611088514,-1.265993357,-2.501121759,-1.296149611
COP,1.179694891,-0.041682746,-3.430032492,-0.726619124,-1.306896567
COST,0.106473915,-4.369788647,0.464358479,2.793817759,1.792643309
CPB,1.508701801,-2.06956768,-0.879089355,1.630002618,0.84470886
CPE,1.100534201,-0.116952047,-3.409617662,-0.856724977,-1.308246255
CPRT,-1.082199335,-2.00933671,1.515608191,1.222514749,-1.99899292
CPYYY,-0.306903154,1.520085216,-2.261481285,1.393785715,-2.382067919
CRM,-4.702913761,0.131315261,-1.203332663,2.67419672,0.473517835
CSCO,-3.996414423,-1.163315892,-2.067802668,1.976248741,2.93360734
CSX,1.998965144,-4.317903519,-0.495488256,-1.135861397,-0.910677135
CTAS,-1.152772546,-2.072602272,1.543702841,1.221023798,-1.871541023
CTL,-4.942861557,-0.512055218,-2.052326918,0.576777399,0.787564814
CTSH,-0.946971834,-0.16464065,-0.499440014,-0.607240677,-0.174379304
CTXS,-5.698201656,0.096461788,-1.467841983,1.755532742,-0.591906965
CVS,-0.150798976,-2.434853792,-1.198109627,-2.039313555,-0.845425606
CVX,1.771073341,0.002690186,-3.860966444,-0.781095922,-2.034139633
CWCO,3.021938086,-1.480827212,-1.728015184,3.579715729,0.238428697
CXO,1.171603918,-0.111615278,-3.424945354,-0.764145613,-1.328278303
DAL,1.03017664,-3.92837429,-1.873136282,-1.597223759,0.259246975
DAR,2.837203979,-3.108716726,-0.113285109,2.632822514,-0.117979854
DE,3.164834499,-4.971843243,-2.159259796,2.473994255,1.772192717
DEO,1.130586267,-0.74207896,0.051698193,5.954711437,-1.399498463
DGICA,0.782042146,0.474316835,-1.904818058,-1.195200443,-3.264430523
DGX,-0.00668491,-2.459367752,-1.2310251,-2.015811205,-0.831762373
DHI,1.111978054,0.616028488,-0.190046057,2.151428223,-3.784060717
DHR,0.232424438,-1.297695994,-0.895639241,-1.018821716,-0.771249056
DIS,-3.228650331,-3.898175716,-1.164939404,0.157135755,2.714467764
DISCA,-3.341986895,-3.140729427,-1.54723084,0.014015377,2.553536415
DISH,-3.488449335,-3.282880783,-1.695028663,-0.281397194,2.446476698
DLTR,1.47282505,-2.897248745,-0.299405068,4.499288559,1.161994457
DOV,0.026654977,-0.61239028,-0.142668277,0.554413378,-0.530753613
DPZ,1.394967198,-3.647232056,-0.734698534,1.47078228,1.403395653
DRI,1.413692832,-3.580838203,-0.760991871,1.41959393,1.361374259
DTE,-0.321951389,1.508255124,-2.250664473,1.373086929,-2.355183125
DUK,-0.933108509,1.542776823,-2.315112352,1.205591083,-2.215437174
DVA,-0.042851731,-2.659217596,-1.163971066,-2.04051137,-0.975639522
DVN,1.121327043,-0.177452564,-3.435127974,-0.8826648,-1.33263576
DXCM,0.192030475,-1.113312483,-0.735746622,-0.828417122,-0.588249862
EA,-2.478619576,-1.708076239,-0.628777027,2.551724434,2.401968718
EBAY,-1.419176102,0.087371163,-2.701339245,3.157857656,2.137639761
ECL,1.416438699,-0.013087805,-1.567220569,0.669962406,-1.103930593
ED,-0.265416801,1.494905829,-2.262914419,1.451067448,-2.287785053
EFX,-3.439781189,-0.817239761,0.465946287,-0.029616112,-4.044328213
EIG,0.776855946,0.480457306,-2.079068184,-1.236055136,-3.278408766
EIX,-0.848794043,1.552649379,-2.36196661,1.249189019,-2.299450397
EL,0.227899224,-2.792455196,2.248028755,1.934538126,-3.392079115
ELP,-0.977750778,1.520743847,-2.336250305,1.246404052,-2.213289261
EMN,-1.670501113,-2.508732796,2.08093977,2.530772924,-2.553090811
EMR,3.048714161,0.653217971,-2.706309557,1.892150879,-1.495592117
ENIA,-0.841674328,1.512919307,-2.33710289,1.304112673,-2.145831108
EOG,1.051257372,-0.052669741,-3.383487225,-0.814506054,-1.376429677
EONGY,-0.20535779,1.45644033,-2.274590015,1.329532743,-2.276068687
EPD,1.672669649,-0.959195673,-3.829338789,-1.464559913,-1.383854628
EQT,1.134173036,-0.131045833,-3.479137659,-0.866580367,-1.362914681
ERF,1.118213415,-0.081729569,-3.37955761,-0.756045341,-1.301265478
ES,-0.888264239,1.55807662,-2.304538727,1.232156277,-2.184048176
ETR,-0.8831442,1.577529788,-2.336658716,1.23921454,-2.353932142
EW,0.101016589,-1.077800632,-0.733045936,-0.771576703,-0.571337938
EXC,-0.89485395,1.552420735,-2.383183002,1.252658486,-2.359527349
EXPD,1.177143574,-2.828229904,-3.22763896,-2.178272963,-0.317307085
EXPE,-0.035765529,-4.04803133,-1.542287588,-0.325995833,1.982799292
F,3.415455341,-4.668321609,1.048271179,0.368338555,-2.921289921
FAST,0.490061492,-0.359627932,0.158154473,1.849939942,-0.945270419
FCX,-3.065956831,1.102388501,-0.769114196,3.23894453,-2.282969475
FDP,2.083579779,-3.106980562,-1.116673112,1.396713495,0.996245384
FDS,-1.407575846,-0.668227911,-1.374543428,-1.89175868,-1.493772864
FDX,1.208958745,-2.767449379,-3.030073404,-1.976945877,-0.188306347
FE,-0.911983252,1.533751011,-2.302926302,1.286678553,-2.263379097
FFIV,-4.614871502,0.288086474,-1.928902984,0.843795419,-0.463060826
FIS,-1.899237275,0.287798375,-1.846733809,-2.290474176,-3.61098671
FISV,-1.763139009,0.148108259,-1.575737476,-2.212806225,-3.571689129
FIZZ,1.797692657,-2.361275434,-1.227726936,1.994993925,1.059462309
FLIR,-5.911804676,-2.608230829,0.252739102,-1.065774918,-2.440936804
FLO,1.480920672,-2.081059456,-0.897027135,1.527731538,0.929893672
FLS,0.022127707,-0.645561159,-0.107078873,0.526794314,-0.605822623
FMC,2.712529659,-3.870218039,-1.453032136,2.260062933,1.253671169
FNF,0.868846357,0.487672836,-2.025614738,-1.193108439,-3.287130117
FSI,1.376330853,-0.005222506,-1.518895626,0.600894392,-1.017337799
FSM,-2.251302242,1.121283054,-1.116376877,4.530691147,-1.358724713
GASS,2.613283873,-2.333191633,-2.210343361,-1.549935341,-1.550558209
GD,-0.584075332,-3.277690649,-2.068411112,-1.895876884,0.560107768
GE,-0.457156807,-1.165955305,0.61366272,0.736367047,-0.690607131
GILD,2.867164135,-1.204683185,-1.4416641,-0.579245567,-2.821113348
GIS,1.38857758,-1.936748624,-0.783883035,1.519426942,0.794460058
GL,0.612801731,-1.5941993,-2.08524251,-3.116052151,-2.596027374
GLP,2.5579772,-1.935813785,-2.280435085,-1.392959952,-1.57640624
GLUU,-3.814139605,-3.32777667,0.400218368,2.746439219,2.369147301
GLW,-5.01850462,-1.650815964,-0.175419718,0.263041645,-0.389106154
GOOGL,-3.998734951,-0.643716156,-0.334260672,1.811146498,0.786111772
GPC,2.307009697,-4.517219067,1.593489766,0.073678292,-3.130844116
GPK,-0.733672976,-0.79358381,0.467498094,0.470792621,-1.02452445
GPN,-1.894616127,0.122065969,-1.692848086,-2.312295198,-3.531179428
GPRE,2.850241184,-1.9488585,-2.077443123,-1.07504046,-1.568960309
GPS,-4.873901367,-4.405578613,1.638874888,0.389963776,-0.164243057
GRMN,-7.954301357,-6.733600616,1.35053122,0.813917935,1.638143897
GSS,-2.018753052,0.963771462,-0.862941325,3.85690093,-1.268229961
GTN,-3.168131113,-2.919028997,-1.557398438,0.127253175,2.389080048
GWW,0.54933244,-0.385464996,0.175800055,2.010447264,-1.008034587
HAIN,1.331891179,-1.990782976,-0.874250829,1.550843716,0.939531863
HAL,1.327519417,-0.039911252,-3.903958559,-0.991578162,-1.83822298
HAS,-3.483048201,-5.386724472,-0.406162858,1.221075058,3.377456427
HBI,-2.4941082,-2.627668858,1.616641402,1.06025219,-1.28474164
HD,0.727466106,-0.212713152,0.507689595,0.973204851,-5.425793171
HES,1.017527342,-0.130735442,-3.269133329,-0.828528285,-1.270164967
HFC,2.936212301,-2.104275227,-1.986631036,-1.037153602,-1.486263275
HHS,-3.78002429,1.153022051,-6.156433105,5.348409176,3.248733759
HIG,-1.692596078,-0.131571129,-4.832565308,-3.231824636,-2.196083307
HLF,1.893326759,-2.610152245,0.793712318,2.738749027,-0.374356359
HOG,2.971724987,-5.129011154,1.198355794,-0.261821121,-2.964529276
HOLX,0.15105398,-1.029740214,-0.664758086,-0.664455652,-0.583541572
HON,-0.39007929,-1.1551373,0.590993345,0.696781874,-0.695921481
HPQ,-3.605502367,-1.351326346,0.090937078,-0.275018662,-1.263396502
HRB,-5.180465698,0.76655525,-0.884188294,0.41312775,-6.333287239
HRL,1.40430212,-2.069620848,-0.836317241,1.524358988,0.836601973
HSIC,-0.367481619,-2.111611605,-0.593853176,-2.244235516,-2.190009117
HSY,1.397240996,-2.102956772,-0.809365034,1.507523894,0.859991491
HUM,0.390559971,-2.608598232,-1.59194541,-2.170264721,-0.895114005
HWKN,0.055845924,-3.264249086,-3.474018335,-1.33084178,1.307646394
IAG,-2.010429859,0.987072527,-0.93938154,3.79847002,-1.237560272
IBM,-2.471660137,0.388324797,-1.758167148,-1.628200889,-2.401203871
ICE,-1.321649313,-0.600536823,-1.243747473,-1.706514835,-1.510417223
IDXX,0.320458472,-1.262112975,-0.744431496,-0.835211933,-0.636596382
IEX,0.024002526,-0.670746744,-0.08365497,0.574253023,-0.546687484
IFF,1.484847784,-0.023722265,-1.73028934,0.658701897,-1.059741259
ILMN,-0.800778091,-1.962350488,-1.61389637,-2.305937529,-0.69530189
INCY,2.734742403,-1.145436645,-1.41347611,-0.602884769,-2.885831833
INT,2.708432913,-1.927056074,-1.970007658,-1.046493649,-1.454240203
INTC,-3.469154596,-1.306632042,0.215105817,-0.195852011,-1.344697475
INTU,-1.801551819,0.654839098,-1.292398572,-1.332238793,-2.675803185
IO,1.373633981,-0.135661677,-3.797358513,-0.952788472,-1.746211648
IP,-0.763854086,-0.853925645,0.542141438,0.49519524,-1.110483885
IPG,-3.880619526,1.189536572,-6.143558979,5.219858646,3.204665661
IPGP,-3.332428932,-0.774496555,-0.744790435,0.701439977,1.110493422
ISRG,0.24498941,-1.205685735,-0.786293745,-0.827647209,-0.692429185
IT,-2.216541767,-0.05112474,-0.613707066,0.391405851,0.157616094
ITW,0.049861167,-0.660929501,-0.08038567,0.532983065,-0.621358037
IVZ,-1.681252241,-1.739747047,0.158503562,-2.129709721,-3.729415417
J,1.926170468,0.511141598,0.553321242,5.55439949,-6.679663181
JBHT,2.96757102,-3.977047443,0.337439001,-0.317723721,-2.354711533
JCI,1.236408234,0.563056648,-0.135407105,2.415651798,-3.596163511
JKHY,-1.872084856,0.258584201,-1.670688748,-2.188802719,-3.488306999
JNJ,2.968904495,-1.195332766,-1.62977159,-0.681203306,-3.049883127
JNPR,-4.077442169,-1.263055921,-2.127229452,1.987722158,3.076309919
JSAIY,-0.235866323,-2.443237066,1.126938939,1.908985734,0.523231089
